New IFU Name,PublicationID,IFU ID to leverage
AP - RR 2019,12809,31666
HP - 7th 2019,12809,31665
AP - BOAP 2019,12538,34889
AP - RR 2019,12538,31666
HP - 7th 2019,12538,31665
AP - BOAP 2019,12811,34889
AP - RR 2019,12811,31666
HP - 7th 2019,12811,31665
AP - BOAP 2019,12812,34889
AP - RR 2019,12812,31666
HP - 7th 2019,12812,31665
AP - BOAP 2019,12813,34889
AP - RR 2019,12813,31666
HP - 7th 2019,12813,31665
AP - BOAP 2019,12814,34889
AP - RR 2019,12814,31666
HP - 7th 2019,12814,31665
AP - BOAP 2019,12816,34889
AP - RR 2019,12816,31666
HP - 7th 2019,12816,31665
AP - BOAP 2019,12817,34889
AP - RR 2019,12817,31666
HP - 7th 2019,12817,31665
AP - BOAP 2019,12819,34889
AP - RR 2019,12819,31666
HP - 7th 2019,12819,31665
AP - BOAP 2019,12820,34889
AP - RR 2019,12820,31666
HP - 7th 2019,12820,31665
AP - BOAP 2019,12821,34889
AP - RR 2019,12821,31666
HP - 7th 2019,12821,31665
AP - BOAP 2019,12822,34889
AP - RR 2019,12822,31666
HP - 7th 2019,12822,31665
AP - BOAP 2019,12823,34889
AP - RR 2019,12823,31666
HP - 7th 2019,12823,31665
AP - BOAP 2019,12824,34889
AP - RR 2019,12824,31666
HP - 7th 2019,12824,31665
AP - BOAP 2019,12825,34889
AP - RR 2019,12825,31666
HP - 7th 2019,12825,31665
AP - BOAP 2019,12826,34889
AP - RR 2019,12826,31666
HP - 7th 2019,12826,31665
AP - BOAP 2019,12827,34889
AP - RR 2019,12827,31666
HP - 7th 2019,12827,31665
AP - BOAP 2019,12828,34889
AP - RR 2019,12828,31666
HP - 7th 2019,12828,31665
AP - BOAP 2019,12829,34889
AP - RR 2019,12829,31666
HP - 7th 2019,12829,31665
AP - BOAP 2019,12830,34889
AP - RR 2019,12830,31666
HP - 7th 2019,12830,31665
AP - BOAP 2019,12831,34889
AP - RR 2019,12831,31666
HP - 7th 2019,12831,31665
AP - BOAP 2019,12833,34889
AP - RR 2019,12833,31666
HP - 7th 2019,12833,31665
AP - BOAP 2019,12835,34889
AP - RR 2019,12835,31666
HP - 7th 2019,12835,31665
AP - BOAP 2019,12836,34889
AP - RR 2019,12836,31666
HP - 7th 2019,12836,31665
AP - BOAP 2019,12543,34889
AP - RR 2019,12543,31666
HP - 7th 2019,12543,31665
AP - BOAP 2019,12539,34889
AP - RR 2019,12539,31666
HP - 7th 2019,12539,31665
AP - BOAP 2019,11882,34889
AP - RR 2019,11882,31666
HP - 7th 2019,11882,31665
AP - BOAP 2019,11312,34889
AP - RR 2019,11312,31666
HP - 7th 2019,11312,31665
AP - BOAP 2019,12540,34889
AP - RR 2019,12540,31666
HP - 7th 2019,12540,31665
